IL_t,IL_t_minus_1,log_Pt,P_imp_t_minus_1,Delta_log_P_t_to_t_plus_1,Delta_IL_hat_t_plus_1,importance_IL_t,importance_IL_t_minus_1,importance_P_imp_t_minus_1,importance_log_Pt,importance_Delta_log_P_t_to_t_plus_1,shap_shock_contribution,shap_state_contribution,shap_shock_share,shap_state_share,pool_name,pool_id,amm,pool_address,date,state_label
-0.0123533814824745,-0.0108856960397923,2.950893867116883,18.752848118013112,0.0137012965766452,-1.203726887702942,0.2817802054223796,0.2324614510213794,0.011640540522822374,0.054378733659477214,0.7667207951286856,0.7667207951286856,0.5802609306260585,0.5692139547766134,0.43078604522338654,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-18,Baseline State
-0.0134355979814064,-0.0123533814824745,2.964595163693528,19.1230395470942,0.025384081555579,-2.356088876724243,0.342189451757901,0.31562425859388044,0.086409307843923,0.05799268072516606,1.565089467490576,1.565089467490576,0.8022156989208704,0.6611270442429127,0.33887295575708737,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-19,Baseline State
-0.0155562230587406,-0.0134355979814064,2.989979245249107,19.38685315055407,-0.0157090996428728,0.9456377029418945,0.20001802908255462,0.20636283621887236,0.2594163875073205,0.32182111266124547,0.7595647783875522,0.7595647783875522,0.9876183654699929,0.4347367824935258,0.5652632175064742,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-20,Baseline State
-0.0142262066415167,-0.0155562230587406,2.9742701456062344,19.885269773461225,-0.0351872679532236,2.166072368621826,0.12335316977106725,0.13182517182419498,0.4412722749460854,0.45097700184458583,1.517785143739214,1.517785143739214,1.1474276183859333,0.5694799174415573,0.4305200825584426,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-21,High IL State
-0.0114558376491998,-0.0142262066415167,2.9390828776530107,19.57533089329903,0.0026268283579091,-0.33203065395355225,0.18986814576517871,0.2362405008694476,0.12777270251884587,0.13968505539903672,0.18459605492401177,0.18459605492401177,0.693566404552509,0.21020718083764464,0.7897928191623553,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-22,Baseline State
-0.0116526163144472,-0.0114558376491998,2.94170970601092,18.89850611964435,0.0049932402596875,-0.4481126070022583,0.19353769272824956,0.197243960336778,0.07781961635091794,0.12528579597930384,0.2716526559546559,0.2716526559546559,0.5938870653952493,0.3138534826928375,0.6861465173071625,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-23,Baseline State
-0.0120311470343421,-0.0116526163144472,2.946702946270608,18.948214510563734,0.0042653944175969,-0.3869372606277466,0.20197638360417422,0.198052885182902,0.09477840185389841,0.13989596676395621,0.23279865014572823,0.23279865014572823,0.6347036374049309,0.2683550850373217,0.7316449149626784,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-24,Baseline State
-0.012359144969821,-0.0120311470343421,2.9509683406882043,19.043064104443165,-0.0039872922839898,0.254054456949234,0.1721883503226607,0.16922930139225578,0.17082094403373266,0.21190490854377264,0.20152996639944193,0.20152996639944193,0.7241435042924217,0.21771172317255144,0.7822882768274485,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-25,Baseline State
-0.0120524020651132,-0.012359144969821,2.9469810484042145,19.124463761176283,-0.0419547795492549,2.3102915287017822,0.11099225500653276,0.12032199646389334,0.4085943647334355,0.45385403740015023,1.6679410883514194,1.6679410883514194,1.093762653604012,0.6039536620138805,0.3960463379861196,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-26,High IL State
-0.0090525388481184,-0.0120524020651132,2.9050262688549595,19.04836075767217,-0.0092626928400729,0.7810585498809814,0.06832456706986312,0.098391754568919,0.2427045786862429,0.25304153688262543,0.44081246626369197,0.44081246626369197,0.6624624372076504,0.3995490741942197,0.6004509258057802,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-27,Liquidity Stress State
-0.0084466631444548,-0.0090525388481184,2.8957635760148865,18.265723465547527,0.0120759271571282,-0.7905569076538086,0.14270498804408058,0.1557082325065011,0.012040293793404211,0.034526056934918455,0.5499263275187528,0.5499263275187528,0.34497957127890433,0.6145074339744564,0.38549256602554366,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-28,Baseline State
-0.0092406127721031,-0.0084466631444548,2.907839503172015,18.09731484234318,0.0056068057191476,-0.38847169280052185,0.1370726021335484,0.1264504486841816,0.03983978537273075,0.06999322577229156,0.2459979428150173,0.2459979428150173,0.3733560619627523,0.3971847132937872,0.6028152867062129,WBTC-WETH,WBTC_WETH,Uniswap_V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,2023-12-29,Baseline State
