IL_t,IL_t_minus_1,log_Pt,P_imp_t_minus_1,Delta_log_P_t_to_t_plus_1,Delta_IL_hat_t_plus_1,importance_IL_t,importance_IL_t_minus_1,importance_P_imp_t_minus_1,importance_log_Pt,importance_Delta_log_P_t_to_t_plus_1,shap_shock_contribution,shap_state_contribution,shap_shock_share,shap_state_share,pool_name,pool_id,amm,pool_address,date,state_label
-0.0036601360659969,-0.0040888549876931,-7.705340631670114,0.000454847181291,0.0192257579053931,-0.15830837190151215,0.05074947298710149,0.059029918986770964,0.013924640402678518,0.04868411048755824,0.21354691334012182,0.21354691334012182,0.17238814286410922,0.5533234411001937,0.4466765588998062,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-18,Baseline State
-0.0045241376024856,-0.0036601360659969,-7.686114873764721,0.0004504152460587,-0.0080262118495948,0.1089952141046524,0.02032231009753839,0.024818126138260666,0.03055306232126799,0.021351741269711358,0.10769168110485869,0.10769168110485869,0.0970452398267784,0.5260002964527224,0.4739997035472776,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-19,Liquidity Stress State
-0.0041524346527751,-0.0045241376024856,-7.694141085614316,0.0004591586000243,-0.0187381735508349,0.18914984166622162,0.0046609083495740364,0.0029727798994738652,0.028745193771876114,0.017626463766969053,0.22914172730019297,0.22914172730019297,0.054005345787893067,0.8092675117602497,0.1907324882397502,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-20,Liquidity Stress State
-0.0033460915897514,-0.0041524346527751,-7.712879259165151,0.0004554880458554,-0.0381167297889977,0.3695530593395233,0.04952311442226153,0.038056311305974276,0.033617823294785396,0.0005551123141164238,0.48212729569345414,0.48212729569345414,0.12175236133713763,0.798383071991826,0.201616928008174,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-21,Baseline State
-0.0019725487900152,-0.0033460915897514,-7.750995988954148,0.0004470324999523,0.0055035154595026,-0.08705171197652817,0.011077422508559517,0.01690945081916238,0.03271341693230522,0.04506291599129981,0.04533015273561903,0.04533015273561903,0.10576320625132693,0.300014196782371,0.699985803217629,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-22,Liquidity Stress State
-0.002148708446497,-0.0019725487900152,-7.745492473494646,0.0004303137393392,0.0197904025560351,-0.13396942615509033,0.035712757989331594,0.04505495938949664,0.002174373969541704,0.0350864796662264,0.18554419025312444,0.18554419025312444,0.11802857101459634,0.6112017082108795,0.38879829178912056,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-23,Baseline State
-0.0028440220704746,-0.002148708446497,-7.725702070938611,0.0004326885064458,-0.0053780212093075,0.019329162314534187,0.009539667797587241,0.01633427278421075,0.043500592684217285,0.03595903044224828,0.06484694450422779,0.06484694450422779,0.10533356370826356,0.381048012991349,0.618951987008651,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-24,Baseline State
-0.0026455052110737,-0.0028440220704746,-7.731080092147918,0.0004413368813131,0.0220138547586472,-0.17481783032417297,0.048819773663316,0.05970291619707183,0.009992849736523646,0.046351816433608875,0.23506375436940227,0.23506375436940227,0.16486735603052036,0.5877606124073306,0.41223938759266937,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-25,Baseline State
-0.0035031898566485,-0.0026455052110737,-7.709066237389271,0.0004389697331967,-0.064976209476943,0.4930020570755005,0.06447763861734229,0.06298685824224476,0.07515386505580188,0.020550994378732923,0.6670015242571825,0.6670015242571825,0.22316935629412185,0.7492960495900431,0.25070395040995685,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-26,High IL State
-0.0013163736892499,-0.0035031898566485,-7.774042446866214,0.0004487402984765,0.011458941604455,-0.14049318432807922,0.007188186028198568,0.013843525278190357,0.022240810367051982,0.03490671550845698,0.11244527011393317,0.11244527011393317,0.0781792371818979,0.5898783514725565,0.41012164852744337,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-27,Liquidity Stress State
-0.0016261682912421,-0.0013163736892499,-7.762583505261759,0.0004205099372409,0.0249672634334601,-0.12849295139312744,0.05316758457076867,0.06278041930933143,0.012649446336864573,0.022124841343520264,0.24303346062154582,0.24303346062154582,0.15072229156048494,0.6172188197245511,0.38278118027544905,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-28,Baseline State
-0.0024138451859873,-0.0016261682912421,-7.737616241828299,0.0004253562498328,-0.0007949996096927,0.03989800810813904,0.017393169965342032,0.024417451456371513,0.02891360802484218,0.03097682131450536,0.04990991567079906,0.04990991567079906,0.10170105076106109,0.32919726617025763,0.6708027338297424,USDC-WETH,USDC_WETH,Uniswap_V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2023-12-29,Baseline State
